English Name,Energy (kcal),Total Carbohydrate,Protein,Total Fat,Saturated Fat,Chol,Total Dietary Fiber,Total Sugars,Calcium,Sodium,Restaurant,Item type,main food type,ingredient_category,spicy,sweet,salty,sour,vegetiarian,gluten,milk,egg,fish,crustaceans,price
Chicken_Chili_Salad,154,18,18,2,0,24,4,13,0,570,3,1,4,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Ham_Salad,120,13,12,3,1,28,3,7,0,545,3,1,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28
Oven_Roasted_Chicken_Breast_Salad,148,13,20,3,1,32,3,7,0,412,3,1,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Roast_Beef_Salad,120,11,17,3,1,36,4,7,0,382,3,1,4,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Subway_Club_Salad,117,12,14,3,1,28,4,7,0,523,3,1,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36
Turkey_Breast_Salad,93,12,9,2,0,15,3,6,0,433,3,1,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Turkey_Breast_&_Ham_Salad,109,13,11,2,1,22,3,7,0,574,3,1,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Veggie_Delite_Salad,52,11,2,1,0,0,3,6,0,72,3,1,4,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24
Avocado_Salad,216,16,4,16,3,0,8,7,0,336,3,1,4,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Egg_Mayo_Salad,512,11,10,18,4,7,3,6,0,234,3,1,4,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28
Italian_BMT_Salad,239,13,14,15,6,48,4,7,0,899,3,1,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Spicy_Italian_Salad,307,13,14,23,9,57,4,7,0,1057,3,1,4,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Steak_&_Cheese_Salad,206,12,21,9,4,0,3,7,0,605,3,1,4,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,36
Subway_Melt_(includes_cheese)_Salad,186,13,17,8,4,24,4,7,0,786,3,1,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,36
Tuna_Salad,302,11,14,23,3,34,3,6,0,387,3,1,4,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,32
Vegan_Supreme_Salad,230,26,10,9,2,0,9,8,0,369,3,1,4,11,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32
Chocolate_Chip,206,28,2,10,5,12,1,17,0,131,3,3,6,11,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8
Double_Chocolate_Chip,200,28,2,9,5,14,1,19,0,130,3,3,6,11,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8
Oatmeal_Raisin,200,30,2,8,4,14,1,16,0,130,3,3,6,11,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8
Raspberry_Cheesecake,203,29,2,9,5,12,0,16,0,121,3,3,6,11,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,8
White_Chip_Macadamia_Nut,217,28,2,11,5,15,1,18,0,143,3,3,6,11,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8
"6""_Italian_(White)_Bread",195,35,7,2,0,0,2,3,0,239,3,6,6,11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10
"6""_Wheat_Bread",195,35,8,2,0,0,3,3,0,271,3,6,6,11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10
"6""_Honey_Oat_Bread",213,38,8,2,0,0,3,5,0,291,3,6,6,11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10
"6""_Parmesan_Oregano_Bread",212,37,8,3,0,0,2,3,0,449,3,6,6,11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Wrap,198,33,5,5,3,0,1,2,0,526,3,6,6,11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12
BBQ_Sauce,12,3,0,0,0,0,0,3,0,56,3,6,6,8,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
Chipotle_Southwest_Sauce,38,1,0,4,1,0,0,0,0,59,3,6,6,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
Honey_Mustard_Sauce_(Fat_Free),17,4,0,0,0,0,0,3,0,55,3,6,6,11,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
Hot_Chili_Sauce,16,4,0,0,0,0,0,3,0,84,3,6,6,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
Mayonnaise,64,0,0,7,1,4,0,0,0,48,3,6,6,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2
Mustard_(Yellow_or_Deli_Brown),5,0,0,0,0,0,0,0,0,84,3,6,6,11,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
Ranch_Dressing,41,1,0,4,1,0,0,0,0,80,3,6,6,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
Sweet_Onion_Sauce_(Fat_Free),18,4,0,0,0,0,0,4,0,35,3,6,6,8,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
Thousand_Island_Dressing,41,2,0,4,0,5,0,2,0,107,3,6,6,8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
Bacon_(2_Strips),34,0,2,1,0,0,0,0,0,90,3,3,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8
Chicken_Strips_Plain,77,1,16,1,0,26,0,1,0,363,3,3,6,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Chicken_Strips_Hot_Chili_Sauce,102,8,15,1,0,24,0,7,0,499,3,3,6,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Chicken_Strips_Teriyaki_Glazed_Mixture,99,7,15,1,0,24,0,6,0,496,3,3,6,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Chicken_Oven_Roasted,96,2,17,2,1,32,0,1,0,340,3,3,6,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Italian_BMT_Meat,186,2,12,14,5,48,0,1,0,828,3,3,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Roast_Beef,67,1,14,2,1,36,0,1,0,310,3,3,6,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Spicy_Italian_meats_(Pepperoni_&_Salami),254,2,11,22,8,57,0,1,0,985,3,3,6,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Steak_Diced,115,1,16,5,2,0,0,1,0,398,3,3,6,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Tuna_&_Mayonnaise_Mixture,250,0,12,22,3,34,0,0,0,315,3,3,6,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,12
Turkey_Breast,41,1,7,1,0,15,0,0,0,361,3,3,6,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Vegan_Patty,178,15,8,8,2,0,5,2,0,297,3,3,6,11,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12
Mozzarella_Shredded,25,0,2,2,1,6,0,0,0,41,3,6,6,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
Triangle_Sliced_Cheese,39,1,2,3,2,0,0,0,0,136,3,6,6,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
Avocado,79,3,1,7,1,0,2,0,0,33,3,3,6,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8
