English Name,Energy (kcal),Total Carbohydrate,Protein,Total Fat,Saturated Fat,Chol,Total Dietary Fiber,Total Sugars,Calcium,Sodium,Restaurant,Item type,main food type,ingredient_category,spicy,sweet,salty,sour,vegetiarian,gluten,milk,egg,fish,crustaceans,price
"Flat_noodles_(""Ho_Fan"")_in_soup_with_beef_tendon",560,75,45,0,0,68,0,3,68,2100,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38
Wheat_noodles_(thin)_in_soup_with_beef_tendon,480,43,56,0,0,93,0,4,75,3200,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38
Rice_vermicelli_in_soup_with_beef_tendon,540,62,53,0,0,81,0,0,74,2400,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38
Wheat_noodles_(thick)_in_soup_with_beef_tendon,460,40,52,0,0,83,0,4,77,3000,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38
Wheat_noodles_(thick)_in_soup_with_cattle_tripe,360,41,35,0,0,130,0,0,100,2800,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38
Wheat_noodles_(thick)_in_soup_with_cattle_offal,460,43,40,14,0,130,0,0,94,3100,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38
"Flat_noodles_(""Ho_Fan"")_in_soup_with_beef_ball",450,77,20,0,0,20,0,0,70,1900,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Wheat_noodles_(thin)_in_soup_with_beef_ball,380,45,32,0,0,51,0,0,84,2600,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Rice_vermicelli_in_soup_with_beef_ball,450,74,24,0,2,29,0,0,94,2300,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Wheat_noodles_(thick)_in_soup_with_beef_ball,390,45,32,0,0,42,0,0,93,2900,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Rice_vermicelli_in_soup_with_fish_ball,400,66,24,0,0,43,0,0,200,1800,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
"Flat_noodles_(""Ho_Fan"")_in_soup_with_fish_ball",450,79,20,0,0,17,0,0,200,2000,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
Wheat_noodles_(thick)_in_soup_with_fish_ball,340,45,30,0,0,48,0,0,170,2500,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
Wheat_noodles_(thin)_in_soup_with_fish_ball,350,46,30,0,0,51,0,0,200,2600,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
"Flat_noodles_(""Ho_Fan"")_in_soup_with_sliced_""fish_cake""",390,70,16,0,1,10,0,0,110,2100,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
"Wheat_noodles_(thin)_in_soup_with_sliced_""fish_cake""",320,41,28,0,0,25,0,0,120,3000,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
"Rice_vermicelli_in_soup_with_sliced_""fish_cake""",390,65,20,5,0,19,0,0,120,2300,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
"Wheat_noodles_(thick)_in_soup_with_sliced_""fish_cake""",310,41,26,5,1,39,0,0,110,2900,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
Rice_vermicelli_in_soup_with_cuttlefish_ball,450,70,22,0,0,84,0,0,67,2100,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
"Flat_noodles_(""Ho_Fan"")_in_soup_with_cuttlefish_ball",460,75,16,0,0,61,0,0,62,2000,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
Wheat_noodles_(thick)_in_soup_with_cuttlefish_ball,370,45,29,0,0,100,0,0,77,3000,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
Wheat_noodles_(thin)_in_soup_with_cuttlefish_ball,370,45,29,0,0,100,0,0,75,3000,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
"Flat_noodles_(""Ho_Fan"")_in_soup_with_""pork_and_Chinese_mushroom_ball""",550,82,19,15,0,24,0,0,62,2100,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
"Wheat_noodles_(thin)_in_soup_with_""pork_and_Chinese_mushroom_ball""",480,54,30,16,0,52,12,0,99,2900,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
"Wheat_noodles_(thick)_in_soup_with_""pork_and_Chinese_mushroom_ball""",450,52,30,13,0,51,0,0,93,2800,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
"Rice_vermicelli_in_soup_with_""pork_and_Chinese_mushroom_ball""",520,80,24,12,0,38,8,0,87,2400,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Rice_vermicelli_in_soup_with_sliced_freshwater_fish,450,67,25,0,0,67,0,0,73,1500,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
Rice_vermicelli_in_soup_with_preserved_mustard_green_and_shredded_pork,350,58,12,0,0,2,0,0,50,1500,2,1,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34
Instant_noodles_in_soup_with_luncheon_meat_and_egg,680,59,22,38,12,190,0,0,64,1800,2,1,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,34
Instant_noodles_in_soup_with_spicy_minced_pork,710,62,29,37,12,76,0,0,49,2100,2,1,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
